year,month,week,name,articles,facebook,googleplus,twitter
2012,6,25,tamara abraham,4,359,2,57
2012,6,25,daily mail reporter,260,21697,422,3713
2012,6,25,sportsmail reporter,161,5216,138,1457
2012,6,25,jill reilly,14,607,15,195
2012,6,25,caroline baker,1,0,0,2
2012,6,25,dipanjan roy chaudhury,2,2,0,0
2012,6,25,mike larkin,23,652,109,108
2012,6,25,linda massarella,11,248,140,69
2012,6,25,julian gavaghan,4,382,13,86
2012,6,25,jade watkins,14,1261,18,497
2012,6,25,dr robert lefever,1,3,0,0
2012,6,25,hugo duncan,5,27,0,16
2012,6,25,kristie lau,11,3623,34,422
2012,6,25,mark littlewood,1,0,0,2
2012,6,25,andy hooper,1,15,0,2
2012,6,25,james slack,4,690,12,140
2012,6,25,sam turner,4,0,0,0
2012,6,25,georgina littlejohn,9,200,7,78
2012,6,25,sarah bull,6,234,9,82
2012,6,25,tim shipman,5,100,1,111
2012,6,25,eddie wrenn,21,3552,119,582
2012,6,25,suzannah hills,2,30,0,9
2012,6,25,ruth sunderland,1,2,0,0
2012,6,25,alex kay,2,887,2,157
2012,6,25,eleanor gower,3,142,45,12
2012,6,25,victoria wellman,7,1089,11,181
2012,6,25,daily mail comment,3,62,13,108
2012,6,25,sarah fitzmaurice,22,1664,35,409
2012,6,25,ed monk,4,42,2,17
2012,6,25,iona kirby,12,215,23,52
2012,6,25,liz thomas,2,55,3,5
2012,6,25,nigel farage,1,160,2,40
2012,6,25,kirsty mccormack,16,805,29,160
2012,6,25,this is money reporters,5,1,0,3
2012,6,25,matt lawton,3,226,6,40
2012,6,25,joanna robinson,2,3,0,6
2012,6,25,sara nathan,4,733,6,60
2012,6,25,daniel bates,3,279,2,49
2012,6,25,emma reynolds,15,2059,31,377
2012,6,25,richard hartley-parkinson,14,3585,31,525
2012,6,25,keith gladdis,2,50,294,17
2012,6,25,liz jones,1,66,0,20
2012,6,25,adrian hilton,1,34,0,9
2012,6,25,rob davies,2,3,0,0
2012,6,25,larisa brown,1,146,2,40
2012,6,25,ephraim hardcastle,2,2,0,8
2012,6,25,ian ladyman,8,269,29,46
2012,6,25,laurie whitwell,1,1,0,1
2012,6,25,shane mcgrath,1,1,0,0
2012,6,25,olivia fleming,5,1394,8,190
2012,6,25,shari miller,6,250,6,65
2012,6,25,richard littlejohn,3,93,7,64
2012,6,25,ryan kisiel,1,1,0,2
2012,6,25,martin samuel,2,40,1,24
2012,6,25,rob cooper,13,1631,40,217
2012,6,25,jonathan mcevoy,3,12,0,9
2012,6,25,kathy gyngell,1,0,1,0
2012,6,25,rob preece,10,723,9,144
2012,6,25,michael walker,4,129,2,42
2012,6,25,yvonne swann,1,15,0,5
2012,6,25,charlotte dovey,1,0,0,0
2012,6,25,alison boshoff,2,122,3,14
2012,6,25,nadia mendoza,6,166,14,65
2012,6,25,arthur martin,2,89,0,74
2012,6,25,mike dickson,6,430,11,50
2012,6,25,john stevens,1,1422,20,172
2012,6,25,harry glass,6,2,3,4
2012,6,25,luke salkeld,5,520,7,32
2012,6,25,toby harnden,3,486,2,50
2012,6,25,chris brooke,2,182,2,18
2012,6,25,travelmail reporter,5,104,2,57
2012,6,25,gerard couzens,1,1,0,0
2012,6,25,sadie whitelocks,13,1137,20,282
2012,6,25,j j anisiobi,10,359,59,131
2012,6,25,luke benedict,4,8,1,6
2012,6,25,emily anne epstein,3,613,7,47
2012,6,25,badar alam,1,44,2,4
2012,6,25,laura williamson,2,95,2,31
2012,6,25,snejana farberov,10,557,9,94
2012,6,25,phil vinter,9,629,9,68
2012,6,25,ian sparks,1,0,0,0
2012,6,25,will stewart,1,520,8,101
2012,6,25,emily allen,2,317,3,62
2012,6,25,paul newman,2,4,0,5
2012,6,25,anna hodgekiss,1,402,6,88
2012,6,25,simon heffer,2,807,0,75
2012,6,25,martin domin,1,3,0,2
2012,6,25,james chapman,5,111,2,69
2012,6,25,ray massey,4,807,9,194
2012,6,25,paul sims,3,63,2,36
2012,6,25,anthony bond,10,2665,36,359
2012,6,25,tammy hughes,12,825,32,181
2012,6,25,steve doughty,3,15,2,18
2012,6,25,mail today reporter,16,23,2,4
2012,6,25,claire bates,7,2860,45,504
2012,6,25,fehintola betiku,4,587,7,136
2012,6,25,charles sale,4,214,3,96
2012,6,25,tanya jefferies,2,3,0,2
2012,6,25,peter campbell,3,2,0,3
2012,6,25,colin fernandez,1,5,0,3
2012,6,25,lucy waterlow,1,99,2,71
2012,6,25,nick mcdermott,1,22,4,20
2012,6,25,amy williams,1,2,0,1
2012,6,25,caroline cheetham,1,65,1,8
2012,6,25,jack davidson,1,72,2,34
2012,6,25,lois rogers,1,133,1,30
2012,6,25,jamie redknapp,1,2,0,4
2012,6,25,christine show,5,264,3,78
2012,6,25,jenny hope,5,321,10,99
2012,6,25,ian lyall,1,0,0,0
2012,6,25,proactive investors,2,1,0,0
2012,6,25,laura clark,4,66,2,12
2012,6,25,jo waters,1,54,2,16
2012,6,25,lawrence conway,4,267,10,88
2012,6,25,jane feinmann,1,64,1,17
2012,6,25,philip hoare,1,283,7,122
2012,6,25,colette fahy,3,63,3,29
2012,6,25,daily mail reporters,2,82,3,12
2012,6,25,nick wood,2,0,0,2
2012,6,25,damien gayle,6,185,9,58
2012,6,25,chris greenwood,3,151,5,46
2012,6,25,mimi spencer,1,8,0,4
2012,6,25,associated press,4,69,2,16
2012,6,25,lee moran,4,233,15,54
2012,6,25,john mcgarry,2,87,1,47
2012,6,25,sean poulter,3,52,2,25
2012,6,25,richard shears,2,67,1,27
2012,6,25,adrian lowery,2,12,0,3
2012,6,25,peter allen,1,61,0,63
2012,6,25,lee boyce,5,36,0,9
2012,6,25,tom goodenough,3,147,3,38
2012,6,25,emily payne,1,70,2,20
2012,6,25,nick enoch,4,297,4,112
2012,6,25,meghan keneally,3,2250,71,210
2012,6,25,tony hazell,1,0,0,0
2012,6,25,thomas durante,2,11,0,3
2012,6,25,sami mokbel,2,287,3,91
2012,6,25,colin young,5,150,1,14
2012,6,25,tanith carey,1,128,0,17
2012,6,25,mac,4,130,0,9
2012,6,25,beth stebner,3,573,10,82
2012,6,25,simon jones - the insider,1,46,0,9
2012,6,25,luke jenkin,1,90,0,1
2012,6,25,james salmon,3,11,0,4
2012,6,25,matt blake,3,69,3,16
2012,6,25,mail foreign service,1,19,1,4
2012,6,25,bella blissett,1,8,1,2
2012,6,25,emily sheridan,10,496,19,111
2012,6,25,lawrence booth,1,0,0,0
2012,6,25,leon watson,6,533,4,96
2012,6,25,benji wilson,1,0,0,0
2012,6,25,sourish bhattacharya,1,0,0,0
2012,6,25,jane fryer,1,28,0,6
2012,6,25,daniel miller,8,494,7,119
2012,6,25,graham smith,15,727,200,145
2012,6,25,rachel quigley,1,1289,14,60
2012,6,25,bhuvan bagga,2,6,0,3
2012,6,25,dan hyde,3,134,0,40
2012,6,25,james tozer,2,42,0,20
2012,6,25,dominique jackson,1,15,0,25
2012,6,25,derek lawrenson,4,34,27,10
2012,6,25,money mail,1,0,0,0
2012,6,25,kevin kilbane,1,5,0,18
2012,6,25,chris foy,3,3,0,1
2012,6,25,andrew pierce,2,279,0,69
2012,6,25,quentin letts,6,16,1,12
2012,6,25,fiona macrae,4,415,15,81
2012,6,25,sandeep bamzai,1,0,0,0
2012,6,25,aditi raja,2,30,0,2
2012,6,25,lydia warren,9,437,6,55
2012,6,25,richard kay,3,25,2,25
2012,6,25,kirsty walker,3,271,2,61
2012,6,25,tom kelly,1,221,3,19
2012,6,25,andrew levy,2,22,6,34
2012,6,25,holly thomas,8,312,19,86
2012,6,25,drew turney,2,126,0,23
2012,6,25,matt lawless,1,60,0,3
2012,6,25,pandora sykes,1,0,0,2
2012,6,25,nick fagge,1,1450,13,83
2012,6,25,melissa kite,1,2,0,2
2012,6,25,hannah roberts,1,0,1,0
2012,6,25,owen anslow,1,12,3,8
2012,6,25,brian marjoribanks,1,19,0,2
2012,6,25,dan ripley,2,78,1,37
2012,6,25,becky barrow,3,121,3,57
2012,6,25,martin robinson,1,0,0,0
2012,6,25,sophie borland,3,63,2,19
2012,6,25,sarah gordon,1,6,0,4
2012,6,25,ian garland,4,1409,20,380
2012,6,25,lydia slater,1,135,2,30
2012,6,25,lorraine candy,1,14,0,4
2012,6,25,eliza scarborough,1,56,0,2
2012,6,25,cassie carpenter,8,154,4,26
2012,6,25,rebecca seales,4,574,6,58
2012,6,25,giridhar jha,1,2,0,1
2012,6,25,donna mcconnell,2,1585,8,298
2012,6,25,manoj joshi,1,0,0,0
2012,6,25,mail today comment,1,0,0,0
2012,6,25,rohan venkataramakrishnan,1,0,0,0
2012,6,25,helen carroll,1,266,2,37
2012,6,25,neil moxley,1,0,0,5
2012,6,25,ashley gray,1,14,0,6
2012,6,25,gautam datt,1,1,0,0
2012,6,25,frances childs,1,35,4,51
2012,6,25,r prasad,1,1,0,1
2012,6,25,tessa cunningham,1,132,2,18
2012,6,25,sally windsor,1,167,0,40
2012,6,25,rebecca camber,1,0,1,0
2012,6,25,this is money reporter,5,0,0,1
2012,6,25,william forbes,1,4,0,2
2012,6,25,zelda west-meads,2,1,0,3
2012,6,25,graham chadwick,1,0,0,1
2012,6,25,liz hull,4,1944,28,382
2012,6,25,cecile metcalf,2,12,0,4
2012,6,25,jane gordon,1,0,0,0
2012,6,25,rupert steiner,2,0,0,0
2012,6,25,charlotte kemp,1,12,2,2
2012,6,25,ruth tierney,1,13,0,6
2012,6,25,amy oliver,6,93,4,23
2012,6,25,associated press reporter,2,38,0,5
2012,6,25,ruth lythe,1,38,3,40
2012,6,25,rebecca english,2,64,5,48
2012,6,25,marcus townend,3,11,0,2
2012,6,25,matt fortune,1,25,0,0
2012,6,25,stephanie hirschmiller,5,634,3,168
2012,6,25,sara malm,3,320,3,59
2012,6,25,stewart maclean,1,2,0,0
2012,6,25,geoff foster,1,0,0,0
2012,6,25,alex brummer,3,0,0,0
2012,6,25,elsa mcalonan,1,3,0,5
2012,6,25,ailsa leslie,1,234,5,34
2012,6,25,paul harris,1,30,0,13
2012,6,25,kumar vikram,2,39,0,7
2012,6,25,vanessa allen,1,9,0,5
2012,6,25,vanu dev,1,1,0,0
2012,6,25,david gardner,1,388,0,28
2012,6,25,janice atkinson-small,2,168,3,28
2012,6,25,daniel martin,3,228,2,51
2012,6,25,sally brompton,1,1,0,0
2012,6,25,alasdair glennie,1,3,3,0
2012,6,25,tara evans,2,1,0,2
2012,6,25,simon spence,1,6,0,4
2012,6,25,julie moult,1,0,0,0
2012,6,25,lindsay johns,1,20,0,3
2012,6,25,simon tomlinson,1,317,2,26
2012,6,25,boris becker,1,4,0,2
2012,6,25,simon lambert,1,5,0,8
2012,6,25,chris hall,1,0,0,0
2012,6,25,claudia connell,1,55,2,4
2012,6,25,dan wootton,1,1,1,2
2012,6,25,tom gardner,3,944,6,54
2012,6,25,catherine ostler,1,0,0,5
2012,6,25,najam sethi,1,0,0,0
2012,6,25,liz jones diary,1,2,1,0
2012,6,25,amelia proud,1,14,1,4
2012,6,25,hugo gye,2,0,3,3
2012,6,25,allan mallinson,2,20,0,4
2012,6,25,tom bellwood,1,0,0,0
2012,6,25,andrew oxlade,1,24,2,8
2012,6,25,sudhanshu mishra,1,0,0,0
2012,6,25,nina golgowski,2,134,2,29
2012,6,25,neetu chandra,1,3,0,1
2012,6,25,mark lewis,1,32,0,12
2012,6,25,shashi tharoor,1,9,0,9
2012,6,25,amber pearson,1,0,0,1
2012,6,25,chris murphy,1,58,0,7
2012,6,25,paul scott,1,83,4,42
2012,6,25,tanya banon,1,2,0,1
2012,6,25,jamie mcginnes,4,783,13,68
2012,6,25,hephzibah anderson,2,0,0,0
2012,6,25,fred mawer,1,25,2,2
2012,6,25,john harding,1,2,0,2
2012,6,25,catherine eade,1,15,0,9
2012,6,25,nick pisa,2,45,3,10
