year,month,week,name,articles,facebook,googleplus,twitter
2012,2,8,ian drury,2,38,3,21
2012,2,8,rosie taylor,1,60,5,20
2012,2,8,iona kirby,15,519,18,103
2012,2,8,daily mail reporter,155,9440,203,1681
2012,2,8,reuters reporter,1,20,0,3
2012,2,8,damien gayle,17,2778,147,437
2012,2,8,sportsmail reporter,195,2671,29,1012
2012,2,8,daniel miller,5,1644,25,382
2012,2,8,john stevens,2,26,2,10
2012,2,8,marissa charles,2,370,2,31
2012,2,8,tim shipman,7,203,6,74
2012,2,8,this is money reporter,13,16,0,18
2012,2,8,eddie wrenn,13,1846,37,396
2012,2,8,melissa kite,1,5,0,2
2012,2,8,julian gavaghan,4,369,8,85
2012,2,8,craig brown,1,5,0,1
2012,2,8,associated press,16,841,17,152
2012,2,8,lydia warren,3,479,6,53
2012,2,8,kirsty walker,3,164,3,54
2012,2,8,ed monk,1,10,0,0
2012,2,8,badar alam,1,4,0,1
2012,2,8,andrew pierce,1,27,1,56
2012,2,8,holly thomas,10,228,8,114
2012,2,8,lauren paxman,8,2038,15,262
2012,2,8,qaiser mohammad ali,5,1,0,5
2012,2,8,emily allen,19,1043,9,181
2012,2,8,rob waugh,29,3313,138,828
2012,2,8,amy oliver,5,419,12,128
2012,2,8,vanessa allen,3,543,3,74
2012,2,8,alanah eriksen,14,1136,14,257
2012,2,8,nazia parveen,2,15,0,5
2012,2,8,hakeem irfan,3,11,0,2
2012,2,8,lee moran,8,2702,18,482
2012,2,8,rob cooper,10,1064,8,163
2012,2,8,francesca preece,1,0,0,0
2012,2,8,victoria allen,1,1,0,2
2012,2,8,alison boshoff,1,432,11,45
2012,2,8,charles walford,10,342,7,143
2012,2,8,richard shears,1,28,0,1
2012,2,8,lee boyce,4,6,0,2
2012,2,8,anthony bond,6,3666,53,426
2012,2,8,priyanka srivastava,7,35,1,13
2012,2,8,hugo duncan,7,86,2,47
2012,2,8,graham smith,11,982,43,198
2012,2,8,beth stebner,3,136,4,32
2012,2,8,kerry mcqueeney,8,214,4,59
2012,2,8,john greechan,4,62,1,12
2012,2,8,mark duell,16,781,18,162
2012,2,8,david gerges,4,221,1,36
2012,2,8,james tozer,2,110,3,51
2012,2,8,chris foy,5,17,1,6
2012,2,8,rachel quigley,6,403,13,44
2012,2,8,nadia mendoza,5,263,8,71
2012,2,8,mike larkin,10,1366,8,231
2012,2,8,manfreda cavazza,2,0,0,0
2012,2,8,sps pannu,1,1,0,0
2012,2,8,jill reilly,5,245,9,141
2012,2,8,sean poulter,9,190,6,126
2012,2,8,andrea magrath,7,301,4,52
2012,2,8,tamara abraham,3,25,0,7
2012,2,8,will stewart,1,293,20,127
2012,2,8,matt barlow,7,531,0,202
2012,2,8,sadie whitelocks,10,3521,47,362
2012,2,8,kirsty mccormack,9,227,6,63
2012,2,8,geoff foster,3,0,0,0
2012,2,8,neetu chandra,1,2,0,0
2012,2,8,jonathan mcevoy,6,63,0,41
2012,2,8,gaurav c. sawant,2,5,1,5
2012,2,8,steve doughty,5,809,14,113
2012,2,8,leon watson,8,250,9,46
2012,2,8,jenny hope,5,419,9,155
2012,2,8,victoria wellman,4,156,11,36
2012,2,8,mac,2,26,0,2
2012,2,8,mail today reporter,17,23,1,11
2012,2,8,deborah arthurs,6,842,7,159
2012,2,8,benji wilson,1,1,1,0
2012,2,8,jade watkins,3,146,6,62
2012,2,8,paul newman,3,25,0,15
2012,2,8,cassie carpenter,5,40,0,15
2012,2,8,chris parsons,12,308,13,159
2012,2,8,john mcgarry,1,16,0,8
2012,2,8,henry deedes,1,5,0,2
2012,2,8,james salmon,1,0,0,0
2012,2,8,amelia proud,10,99,6,17
2012,2,8,nichola jones,1,44,0,10
2012,2,8,sarah gordon,2,19,1,17
2012,2,8,marcus barnes,7,358,7,203
2012,2,8,james chapman,1,40,2,8
2012,2,8,paul thompson,2,308,9,44
2012,2,8,ask an expert,3,0,0,0
2012,2,8,andy dolan,3,208,3,51
2012,2,8,louise eccles,4,108,2,26
2012,2,8,rick dewsbury,2,152,1,30
2012,2,8,wil longbottom,8,650,24,107
2012,2,8,maysa rawi,5,267,4,76
2012,2,8,sam turner,6,1,0,1
2012,2,8,becky barrow,8,115,4,105
2012,2,8,tara evans,3,32,1,4
2012,2,8,ted thornhill,7,257,3,41
2012,2,8,janine self,3,4,1,5
2012,2,8,daily mail comment,4,1,0,3
2012,2,8,james kerr,1,1,0,1
2012,2,8,alex brummer,7,28,0,5
2012,2,8,michael zennie,4,577,13,42
2012,2,8,laura williamson,3,24,1,21
2012,2,8,sami mokbel,3,132,0,33
2012,2,8,laura schreffler,10,401,8,94
2012,2,8,dan hyde,2,26,0,4
2012,2,8,suzannah hills,6,743,10,119
2012,2,8,david gardner,1,83,0,13
2012,2,8,nalini ravichandran,3,3,0,10
2012,2,8,judy hobson,1,34,1,14
2012,2,8,simon heffer,1,65,0,16
2012,2,8,sarah bull,19,763,12,298
2012,2,8,chris wheeler,6,216,4,64
2012,2,8,mail foreign service,3,3190,20,336
2012,2,8,riath al-samarrai,1,0,0,0
2012,2,8,zelda west-meads,1,0,0,0
2012,2,8,louise boyle,4,294,10,26
2012,2,8,ian ladyman,2,62,0,20
2012,2,8,alexander boot,2,8,1,5
2012,2,8,sarah fitzmaurice,13,397,18,153
2012,2,8,luke salkeld,3,530,4,87
2012,2,8,a. srinivasa rao,1,0,0,1
2012,2,8,this is money reporters,3,0,0,0
2012,2,8,amy williams,1,1,0,2
2012,2,8,bel mooney,3,52,1,11
2012,2,8,shreyas sharma,1,4,0,0
2012,2,8,ruth sunderland,5,2,0,3
2012,2,8,andrew g marshall,1,6,0,15
2012,2,8,sonali joshi,1,2,0,1
2012,2,8,vikas kahol,1,5,0,0
2012,2,8,deepti jakhar,2,6,0,0
2012,2,8,sophie borland,4,79,0,38
2012,2,8,lauren thompson,1,15,0,11
2012,2,8,nick enoch,3,274,13,72
2012,2,8,thomas fleming,1,1,1,1
2012,2,8,sarah stacey,1,5,0,9
2012,2,8,john edwards,6,20,0,21
2012,2,8,sam greenhill,4,72,0,86
2012,2,8,victoria gooch,1,203,11,43
2012,2,8,eleanor gower,6,138,0,45
2012,2,8,dan ripley,4,45,1,54
2012,2,8,alastair hendy,4,3,0,0
2012,2,8,neil hallam,1,2,0,0
2012,2,8,kumar vikram,1,0,0,0
2012,2,8,tom kelly,1,32,0,0
2012,2,8,mark wilson,4,12,0,5
2012,2,8,meghan keneally,7,2589,31,261
2012,2,8,jaya narain,1,58,0,6
2012,2,8,daisy dumas,5,285,2,60
2012,2,8,rebecca english,1,412,6,81
2012,2,8,andrew alexander,1,41,2,35
2012,2,8,john mckeown,1,0,0,1
2012,2,8,ruth lythe,3,3,0,0
2012,2,8,nina golgowski,6,636,5,88
2012,2,8,fiona mccarthy,1,1,0,0
2012,2,8,allan hall,2,897,22,74
2012,2,8,anup dutta,1,0,0,0
2012,2,8,alex evans,1,1947,14,205
2012,2,8,amanda platell,2,44,2,5
2012,2,8,caitlin moran,1,13,0,7
2012,2,8,this is money,1,2,0,0
2012,2,8,kathy gyngell,1,1,0,2
2012,2,8,gordon currie,1,18,0,3
2012,2,8,katherine faulkner,2,906,8,212
2012,2,8,richard gibson,1,0,0,0
2012,2,8,rev george pitcher,2,82,2,34
2012,2,8,gerard couzens,2,28,1,9
2012,2,8,dinesh c sharma,2,12,0,1
2012,2,8,charlotte cory,1,48,1,12
2012,2,8,simon tomlinson,1,11,0,5
2012,2,8,dan francis,1,115,1,54
2012,2,8,maneesh pandey,2,14,0,3
2012,2,8,hannah roberts,3,358,1,96
2012,2,8,daniel martin,3,77,8,33
2012,2,8,j j anisiobi,14,1082,12,220
2012,2,8,elaine lipworth,1,3,0,3
2012,2,8,donna mcconnell,1,13,2,8
2012,2,8,jack doyle,4,457,6,67
2012,2,8,sourish bhattacharya,1,0,0,0
2012,2,8,colin fernandez,1,64,0,56
2012,2,8,travelmail reporter,4,102,2,129
2012,2,8,jason groves,6,400,12,197
2012,2,8,liz thomas,1,269,4,110
2012,2,8,jenny stocks,1,193,5,46
2012,2,8,glenys roberts,1,7,0,3
2012,2,8,emma reynolds,4,616,26,154
2012,2,8,sylvia morris,2,1,0,0
2012,2,8,liz hull,1,43,0,8
2012,2,8,sarah chalmers,1,54,0,5
2012,2,8,peter allen,7,306,7,72
2012,2,8,matt roper,1,31,0,25
2012,2,8,gabriel o'rorke,1,30,2,27
2012,2,8,simon richards,1,10,0,7
