year,month,week,name,articles,facebook,googleplus,twitter
2012,5,21,ted thornhill,1,0,0,0
2012,5,21,j j anisiobi,9,290,9,110
2012,5,21,sarah bruce,1,88,0,16
2012,5,21,daily mail reporter,200,11743,211,2011
2012,5,21,suzannah hills,16,2143,43,450
2012,5,21,sportsmail reporter,154,5994,49,1208
2012,5,21,harry glass,2,9,0,9
2012,5,21,matt blake,2,11,1,2
2012,5,21,iona kirby,13,557,18,93
2012,5,21,graham smith,6,1834,27,239
2012,5,21,jeff powell,2,8,1,5
2012,5,21,andrea magrath,11,593,15,181
2012,5,21,georgina littlejohn,12,570,19,232
2012,5,21,rob preece,8,392,2,94
2012,5,21,m c rajan,1,2,0,1
2012,5,21,pratul sharma,1,1,0,1
2012,5,21,joanna robinson,3,29,0,12
2012,5,21,dr robert lefever,1,35,0,2
2012,5,21,chris hanlon,7,1014,9,121
2012,5,21,john naish,2,157,0,53
2012,5,21,daily mail comment,3,48,0,14
2012,5,21,sarah bull,16,690,10,221
2012,5,21,rob davies,6,3,0,5
2012,5,21,peta bee,1,3,0,4
2012,5,21,mail today comment,4,2,0,1
2012,5,21,rachel quigley,12,1130,32,81
2012,5,21,derek lawrenson,2,1,0,4
2012,5,21,laura pullman,1,125,0,13
2012,5,21,mail today reporter,13,11,0,1
2012,5,21,mario ledwith,1,18,0,11
2012,5,21,richard dyson,1,1,0,1
2012,5,21,juliet nicolson,1,35,0,7
2012,5,21,jill halfpenny,1,1,0,2
2012,5,21,fehintola betiku,9,545,2,56
2012,5,21,rob waugh,17,1214,58,304
2012,5,21,snejana farberov,13,468,5,82
2012,5,21,travelmail reporter,4,180,3,66
2012,5,21,jade watkins,19,400,22,147
2012,5,21,sara malm,2,473,4,24
2012,5,21,jill reilly,7,405,3,84
2012,5,21,rebecca english,2,812,10,152
2012,5,21,simon richards,1,18,0,5
2012,5,21,mike larkin,15,380,17,293
2012,5,21,david hurst,1,7,0,6
2012,5,21,victoria wellman,4,388,6,39
2012,5,21,charles sale,4,26,1,27
2012,5,21,sami mokbel,3,441,0,206
2012,5,21,simon cass,3,27,0,7
2012,5,21,peter allen,3,47,0,20
2012,5,21,daniel martin,4,609,15,296
2012,5,21,anthony bond,8,228,8,56
2012,5,21,sangeeth sebastian,1,16,0,0
2012,5,21,olivia fleming,9,206,9,97
2012,5,21,amelia proud,8,1565,6,69
2012,5,21,gerri peev,2,444,3,88
2012,5,21,a. srinivasa rao,1,1,0,0
2012,5,21,baz bamigboye,2,52,0,13
2012,5,21,guy walters,1,3,0,5
2012,5,21,david starkey,1,216,0,66
2012,5,21,claire bates,9,1559,20,331
2012,5,21,sebastian lander,1,13,1,3
2012,5,21,kimberley dadds,7,159,11,51
2012,5,21,james titcomb,3,137,2,19
2012,5,21,sadie whitelocks,5,366,5,125
2012,5,21,nalini ravichandran,1,6,0,1
2012,5,21,ruth wood,1,32,1,1
2012,5,21,associated press,13,685,7,71
2012,5,21,chris wheeler,7,101,1,56
2012,5,21,deepti jakhar,1,84,0,6
2012,5,21,jenny hope,2,48,3,36
2012,5,21,cassie carpenter,7,149,5,33
2012,5,21,eddie wrenn,24,3363,97,590
2012,5,21,kate garraway,1,4,0,15
2012,5,21,matthew engel,1,14,1,7
2012,5,21,simon lambert,3,28,0,5
2012,5,21,niraja gopal jayal,1,0,0,0
2012,5,21,phil vinter,5,507,14,42
2012,5,21,v. krishmaswami,2,0,3,0
2012,5,21,mimi spencer,1,3,7,0
2012,5,21,eleanor harding,3,35,2,23
2012,5,21,kristie lau,8,332,6,71
2012,5,21,meghan keneally,7,465,7,88
2012,5,21,laura williamson,2,60,0,136
2012,5,21,stewart maclean,2,0,0,0
2012,5,21,daniel bates,8,287,6,89
2012,5,21,luke benedict,1,0,0,0
2012,5,21,james chapman,9,522,6,109
2012,5,21,fiona macrae,4,369,14,116
2012,5,21,jaya narain,3,1467,6,168
2012,5,21,kirsty mccormack,17,1003,10,258
2012,5,21,kumar vikram,1,1,0,0
2012,5,21,sarah harris,2,371,0,63
