year,month,week,name,articles,facebook,googleplus,twitter
2012,3,13,dan ripley,5,241,1,86
2012,3,13,martin domin,2,5,0,6
2012,3,13,lee boyce,5,192,0,31
2012,3,13,jill reilly,9,2852,13,156
2012,3,13,andy dolan,2,62,0,2
2012,3,13,sarah bull,21,23080,29,843
2012,3,13,laura williamson,5,384,8,81
2012,3,13,pandora sykes,1,39,0,3
2012,3,13,sportsmail reporter,190,7090,41,1050
2012,3,13,suzannah hills,2,180,0,55
2012,3,13,amanda platell,2,13,2,10
2012,3,13,martin robinson,5,187,2,40
2012,3,13,gordon taylor,1,5,0,5
2012,3,13,harry glass,3,3,0,8
2012,3,13,mike larkin,13,332,4,64
2012,3,13,leon watson,9,468,7,72
2012,3,13,laura schreffler,10,389,3,64
2012,3,13,daily mail reporter,166,17151,173,1873
2012,3,13,laura cox,9,241,7,47
2012,3,13,j j anisiobi,17,1544,27,286
2012,3,13,nina golgowski,3,669,4,58
2012,3,13,aislin taylor,9,331,3,58
2012,3,13,toby harnden,3,45,0,5
2012,3,13,emily sheridan,6,402,14,89
2012,3,13,david baker,4,845,2,110
2012,3,13,lara gould,1,3,0,0
2012,3,13,james chapman,12,389,4,60
2012,3,13,rob waugh,26,7435,155,1061
2012,3,13,paul newman,3,0,0,4
2012,3,13,victoria wellman,8,1367,8,125
2012,3,13,alex kay,1,2,0,3
2012,3,13,craig brown,2,22,0,2
2012,3,13,ted thornhill,16,1532,47,270
2012,3,13,meghan keneally,9,2241,40,199
2012,3,13,nick wood,1,0,0,0
2012,3,13,rob cooper,6,518,5,78
2012,3,13,jane borland,1,71,0,10
2012,3,13,dan hyde,7,69,1,12
2012,3,13,this is money reporter,11,28,0,8
2012,3,13,iona kirby,21,765,27,184
2012,3,13,damien gayle,10,1951,18,165
2012,3,13,sangeeth sebastian,1,13,0,0
2012,3,13,abhinay dey,1,6,0,0
2012,3,13,richard kay,3,144,1,20
2012,3,13,avishek roy,4,2,0,0
2012,3,13,tom gardner,9,1359,21,110
2012,3,13,zelda west-meads,1,2,0,1
2012,3,13,a. srinivasa rao,3,5,0,15
2012,3,13,rebecca evans,2,39,0,12
2012,3,13,qaiser mohammad ali,9,182,1,8
2012,3,13,rakesh dixit,1,0,0,0
2012,3,13,travelmail reporter,10,223,5,103
2012,3,13,emily allen,10,2508,29,244
2012,3,13,sami mokbel,7,548,5,74
2012,3,13,suzanne baum,1,0,0,0
2012,3,13,piyush srivastava,3,18,0,8
2012,3,13,associated press,7,220,6,22
2012,3,13,liz thomas,3,103,1,15
2012,3,13,julia manning,2,5,0,11
2012,3,13,georgina littlejohn,8,836,7,76
2012,3,13,graham smith,5,746,9,179
2012,3,13,nick mcdermott,3,155,0,14
2012,3,13,deborah arthurs,6,2417,29,193
2012,3,13,daniel bates,5,148,1,18
2012,3,13,george north,1,4,0,0
2012,3,13,dominic king,5,110,1,20
2012,3,13,ed monk,3,53,1,25
2012,3,13,neil sears,3,200,3,62
2012,3,13,leah simpson,2,18,1,12
2012,3,13,alanah eriksen,14,624,17,127
2012,3,13,rebecca english,3,803,10,138
2012,3,13,ann pride,2,29,1,3
2012,3,13,poornima joshi,2,0,0,2
2012,3,13,lee moran,8,338,8,95
2012,3,13,maysa rawi,5,375,1,49
2012,3,13,mail today reporter,18,313,2,17
2012,3,13,amelia proud,13,600,9,88
2012,3,13,kristie lau,5,1731,4,135
2012,3,13,tom leonard,2,1113,16,170
2012,3,13,sarah fitzmaurice,18,950,17,305
2012,3,13,ian ladyman,4,692,2,107
2012,3,13,anthony bond,11,1804,3,183
2012,3,13,richard shears,2,469,4,39
2012,3,13,rebecca camber,2,30,0,6
2012,3,13,helen carroll,2,1428,2,111
2012,3,13,sally beck,1,180,6,50
2012,3,13,david gerges,2,71,0,15
2012,3,13,becky barrow,2,4,0,2
2012,3,13,joe ridge,1,58,3,30
2012,3,13,david green,2,16,1,2
2012,3,13,mitch feierstein,1,6,0,0
2012,3,13,amy williams,1,9,0,4
2012,3,13,judi james,1,9,1,2
2012,3,13,mark wilson,1,3,0,1
2012,3,13,chris wheeler,5,304,2,55
2012,3,13,david gardner,1,20,0,4
2012,3,13,gerard couzens,1,10,0,5
2012,3,13,nick enoch,7,4672,32,390
2012,3,13,hugo duncan,6,3,0,4
2012,3,13,chris foy,4,57,0,23
2012,3,13,alasdair glennie,4,171,3,34
2012,3,13,sonali joshi,2,3,0,1
2012,3,13,snejana farberov,1,1,0,0
2012,3,13,riath al-samarrai,2,130,0,22
2012,3,13,allan hall,1,1307,8,149
2012,3,13,akash vashishtha,3,3,0,0
2012,3,13,jade watkins,9,545,15,96
2012,3,13,claire bates,4,2297,12,257
2012,3,13,alex brummer,3,0,0,0
2012,3,13,sam greenhill,2,6,2,4
2012,3,13,charles sale,1,1,0,0
2012,3,13,adila matra,1,11,0,1
2012,3,13,simon heffer,3,42,2,25
2012,3,13,m. c. rajan,1,0,0,0
2012,3,13,rajeev dhavan,1,23,1,1
2012,3,13,beth stebner,5,636,11,54
2012,3,13,liz jones,1,0,0,0
2012,3,13,lydia warren,1,41,1,9
2012,3,13,richard hartley-parkinson,3,403,2,51
2012,3,13,eleanor harding,4,1592,12,107
2012,3,13,daniel martin,4,61,0,32
2012,3,13,kimberley dadds,12,573,15,120
2012,3,13,phil vinter,8,559,8,71
2012,3,13,ruth sunderland,3,8,0,0
2012,3,13,ananda majumdar,1,4,0,0
2012,3,13,christopher stevens,1,19,0,3
2012,3,13,sara lawrence,2,182,0,17
2012,3,13,mac,5,31,0,5
2012,3,13,donal blaney,2,6,0,3
2012,3,13,alfonso serrano f.,2,40,0,8
2012,3,13,dan james,1,163,0,38
2012,3,13,jack doyle,2,13,0,4
2012,3,13,rick dewsbury,8,805,5,78
2012,3,13,louise eccles,2,146,0,20
2012,3,13,john james,1,5,0,3
2012,3,13,lawrence booth,1,30,0,43
2012,3,13,sylvia morris,1,0,0,0
2012,3,13,christine show,2,432,0,1
2012,3,13,ashish sinha,1,0,0,0
2012,3,13,nadia mendoza,6,352,2,68
2012,3,13,thomas durante,3,61,0,2
2012,3,13,r prasad,2,0,0,0
2012,3,13,rachel rickard straus,7,817,0,86
2012,3,13,michael walker,2,166,2,53
2012,3,13,sourish bhattacharya,1,27,0,0
2012,3,13,sam dunn,1,12,1,11
2012,3,13,james coney,1,0,0,1
2012,3,13,jonathan brocklebank,1,174,0,35
2012,3,13,sean poulter,3,260,12,88
2012,3,13,tim shipman,7,178,2,50
2012,3,13,dadan upadhyay,1,3,0,1
2012,3,13,carol sarler,1,81,0,28
2012,3,13,abhijit pandya,1,1,0,1
2012,3,13,holly thomas,12,320,3,46
2012,3,13,alexander boot,2,8,0,0
2012,3,13,john edwards,1,73,0,5
2012,3,13,ashley gray,1,24,0,14
2012,3,13,priyanka srivastava,3,44,0,9
2012,3,13,simon tomlinson,10,644,1,118
2012,3,13,julie moult,1,21,0,7
2012,3,13,ray massey,4,16,1,2
2012,3,13,iain murray,1,26,1,5
2012,3,13,sally brompton,1,3,0,0
2012,3,13,jason groves,2,85,1,38
2012,3,13,james tozer,2,58,1,17
2012,3,13,chris brooke,1,297,3,37
2012,3,13,annie bell,2,0,0,0
2012,3,13,james slack,5,62,0,19
2012,3,13,larisa brown,1,128,0,18
2012,3,13,michael hanlon,2,8,0,3
2012,3,13,georgina maddox,1,0,0,0
2012,3,13,olivia fleming,4,927,10,155
2012,3,13,eleanor gower,3,49,8,15
2012,3,13,aditya menon,1,59,0,1
2012,3,13,this is money reporters,2,20,0,7
2012,3,13,david wilkes,6,249,0,39
2012,3,13,quentin letts,3,14,0,4
2012,3,13,hannah rand,1,56,0,14
2012,3,13,mail foreign service,1,37,1,6
2012,3,13,dinesh c sharma,1,11,0,10
2012,3,13,martin samuel,2,29,0,13
2012,3,13,laura shannon,1,4,0,7
2012,3,13,ajay kumar,1,0,0,0
2012,3,13,lauren thompson,1,0,0,1
2012,3,13,sam cunningham,2,1,0,1
2012,3,13,clive aslet,2,13,0,12
2012,3,13,chris greenwood,2,34,0,8
2012,3,13,paul revoir,2,234,0,18
2012,3,13,kerry mcqueeney,4,1576,8,95
2012,3,13,arthur martin,1,769,3,67
2012,3,13,natalie livingstone,1,123,0,10
2012,3,13,reuters reporter,4,1296,10,55
2012,3,13,steve doughty,2,1641,7,174
2012,3,13,colin young,3,117,0,14
2012,3,13,neil ashton,1,108,0,41
2012,3,13,sarah harris,4,527,1,55
2012,3,13,maureen paton,1,0,0,0
2012,3,13,emma reynolds,4,169,3,33
2012,3,13,laura pullman,4,121,1,9
2012,3,13,lorraine candy,1,12,0,2
2012,3,13,sadie whitelocks,5,725,2,138
2012,3,13,jo fairley,2,0,0,1
2012,3,13,sarah stacey,2,0,0,1
2012,3,13,deepti jakhar,3,1,1,0
2012,3,13,louise boyle,2,1379,15,197
2012,3,13,jeremy butler,1,0,0,0
2012,3,13,colin fernandez,1,5,0,4
2012,3,13,paul scott,2,64,2,12
2012,3,13,hugo gye,1,962,25,29
2012,3,13,william cook,1,33,0,3
2012,3,13,peter allen,4,778,17,116
2012,3,13,gerri peev,1,30,0,17
2012,3,13,rupert steiner,1,4,0,1
2012,3,13,annabel venning,1,12,0,15
2012,3,13,chris leadbeater,1,0,0,0
2012,3,13,antonia hoyle,1,87,0,15
2012,3,13,maya oakley,1,2,1,6
2012,3,13,talal musa,2,20,2,6
2012,3,13,kimberly wyatt,1,130,0,5
2012,3,13,fergal macerlean,1,10,0,4
2012,3,13,kirsty walker,1,16,0,6
2012,3,13,melissa kite,2,97,2,50
2012,3,13,shreyas sharma,2,1,1,0
2012,3,13,tanya jefferies,2,62,2,11
2012,3,13,james white,2,69,0,28
2012,3,13,chris moncrieff,1,0,0,0
2012,3,13,ephraim hardcastle,3,2,0,2
2012,3,13,daniel miller,2,24,0,3
2012,3,13,matt blake,5,2921,18,124
2012,3,13,max hastings,1,26,0,6
2012,3,13,alex singleton,1,0,0,0
2012,3,13,chris parsons,4,2487,44,651
2012,3,13,sophie borland,2,97,0,17
2012,3,13,aman sharma,1,10,0,3
2012,3,13,rob davies,4,12,0,0
2012,3,13,matt lawton,2,57,2,7
2012,3,13,mail today bureau,3,2,0,1
2012,3,13,thomas fleming,1,0,0,0
2012,3,13,d. p. bhattacharya,2,689,0,2
2012,3,13,rahul rawat,2,0,0,0
2012,3,13,this is money,1,4,0,2
2012,3,13,ask the experts,1,4,0,2
2012,3,13,paul sims,1,23,3,15
2012,3,13,michael zennie,2,427,1,6
2012,3,13,peter campbell,2,1,0,7
2012,3,13,michael seamark,2,476,1,96
2012,3,13,tara evans,7,59,2,18
