year,month,week,name,articles,facebook,googleplus,twitter
2011,7,29,matt lawless,1,17,0,6
2011,7,29,daily mail reporter,364,115668,1202,12339
2011,7,29,sportsmail reporter,138,9458,11,708
2011,7,29,harry glass,5,9,0,0
2011,7,29,daniel martin,2,13,0,7
2011,7,29,eve mcgowan,1,0,0,2
2011,7,29,richard kay,3,213,0,27
2011,7,29,steve doughty,4,163,0,9
2011,7,29,richard hartley-parkinson,6,161,0,34
2011,7,29,emily andrews,1,92,0,17
2011,7,29,michael seamark,1,29,0,38
2011,7,29,jody thompson,10,620,4,76
2011,7,29,travelmail reporter,1,4,0,4
2011,7,29,john edwards,2,88,0,35
2011,7,29,simon lambert,2,13,0,3
2011,7,29,mark duell,16,539,9,79
2011,7,29,paul bentley,11,652,3,77
2011,7,29,mail foreign service,2,13,0,1
2011,7,29,allan hall,1,104,1,9
2011,7,29,chris wheeler,5,223,0,15
2011,7,29,janine self,3,271,1,21
2011,7,29,liz thomas,5,201,1,29
2011,7,29,ian drury,2,150,0,18
2011,7,29,peter allen,2,133,1,39
2011,7,29,maysa rawi,5,115,0,17
2011,7,29,sami mokbel,3,207,0,41
2011,7,29,linda mckay,2,0,0,0
2011,7,29,derek lawrenson,6,11,0,20
2011,7,29,laura schreffler,2,4,0,14
2011,7,29,ross clark,3,0,0,2
2011,7,29,rachel quigley,5,9652,6,171
2011,7,29,alan fraser,4,0,0,6
2011,7,29,richard littlejohn,2,21,0,10
2011,7,29,david hurst,1,8,0,6
2011,7,29,dominic sandbrook,1,6,0,5
2011,7,29,daily mail,4,21,0,12
2011,7,29,alex brummer,4,2,0,1
2011,7,29,sarah fitzmaurice,4,81,1,35
2011,7,29,neil sears,1,1033,4,98
2011,7,29,this is money reporters,22,4,0,1
2011,7,29,georgina littlejohn,8,1186,5,198
2011,7,29,deborah arthurs,5,954,6,138
2011,7,29,ivan speck,6,11,1,1
2011,7,29,andy dolan,1,39,0,10
2011,7,29,ian lyall,1,0,0,1
2011,7,29,proactive investors,1,0,0,1
2011,7,29,ashley gray,2,14,0,4
2011,7,29,sophie borland,5,4719,31,414
2011,7,29,damien gayle,1,23,1,9
2011,7,29,brian marjoribanks,1,0,0,0
2011,7,29,matt lawton,3,1047,2,501
2011,7,29,sam turner,4,0,0,2
2011,7,29,dan cruickshank,1,77,0,9
2011,7,29,martyn cox,1,1,0,0
2011,7,29,andrea magrath,8,94,0,29
2011,7,29,sean poulter,4,238,0,97
2011,7,29,john naish,2,288,3,165
2011,7,29,quentin letts,5,43,0,48
2011,7,29,eliza scarborough,1,0,0,0
2011,7,29,katie silver,2,359,39,76
2011,7,29,mark wilson,5,234,0,4
2011,7,29,james tozer,3,92,0,35
2011,7,29,geoff foster,4,24,0,6
2011,7,29,stephen wright,2,42,0,6
2011,7,29,paul sims,1,62,0,13
2011,7,29,beth hale,1,75,5,77
2011,7,29,amy oliver,4,1341,7,81
2011,7,29,fiona roberts,10,722,3,55
2011,7,29,dominic king,7,761,4,86
2011,7,29,ray massey,4,51,1,36
2011,7,29,daily mail comment,3,11,0,7
2011,7,29,fiona macrae,4,1055,22,185
2011,7,29,petronella wyatt,1,1,0,4
2011,7,29,tamara abraham,6,157,1,53
2011,7,29,lucy elkins,1,89,0,66
2011,7,29,daily mail recipe,2,21,0,3
2011,7,29,rupert steiner,3,0,0,0
2011,7,29,mac,3,18,0,1
2011,7,29,rick dewsbury,2,1053,2,43
2011,7,29,lee boyce,5,43,0,8
2011,7,29,becky barrow,1,73,0,37
2011,7,29,andrew oxlade,2,2,0,0
2011,7,29,daniel bates,5,530,5,85
2011,7,29,john stevens,13,3701,47,308
2011,7,29,paul revoir,2,26,0,20
2011,7,29,david gardner,2,144,3,17
2011,7,29,rebecca english,1,113,0,15
2011,7,29,lauren paxman,1,15,0,14
2011,7,29,chris brooke,3,148,0,35
2011,7,29,clare mayhew,2,0,0,0
2011,7,29,ephraim hardcastle,3,4,1,12
2011,7,29,kate loveys,3,182,2,81
2011,7,29,catherine ostler,1,256,3,22
2011,7,29,sarah bull,11,929,5,181
2011,7,29,ian ladyman,5,4,0,2
2011,7,29,james salmon,1,4,0,12
2011,7,29,ben todd,2,112,1,29
2011,7,29,ruth lythe,1,0,0,0
2011,7,29,katy b. olson,1,15,1,1
2011,7,29,paul newman,2,53,1,11
2011,7,29,kirsty walker,2,130,0,25
2011,7,29,jack doyle,3,377,0,49
2011,7,29,ted thornhill,2,42,0,5
2011,7,29,lawrence booth,1,3,0,3
2011,7,29,tara evans,2,5,0,0
2011,7,29,barry norman,1,41,2,12
2011,7,29,james coney,1,0,0,2
2011,7,29,judith woods,1,10,0,9
2011,7,29,gerri peev,2,247,1,137
2011,7,29,marcus townend,4,20,0,9
2011,7,29,andrew alexander,1,2,0,2
2011,7,29,matt barlow,3,83,0,29
2011,7,29,tim shipman,4,454,0,39
2011,7,29,andrew levy,2,239,1,16
2011,7,29,max hastings,2,58,0,10
2011,7,29,lucy cavendish,1,134,1,266
2011,7,29,tahmina mannan,2,7,0,6
2011,7,29,lorraine candy,1,0,0,5
2011,7,29,rebecca camber,3,266,1,27
