year,month,week,name,articles,facebook,googleplus,twitter
2012,1,3,leon watson,20,1205,23,283
2012,1,3,marissa charles,10,308,5,54
2012,1,3,sportsmail reporter,215,5323,52,1020
2012,1,3,alanah eriksen,21,1395,14,356
2012,1,3,sarah bull,20,5395,37,821
2012,1,3,daily mail reporter,202,19135,328,2769
2012,1,3,damien gayle,6,275,3,29
2012,1,3,mike larkin,12,3742,27,271
2012,1,3,mike o'brien,2,587,9,55
2012,1,3,claire bates,12,1365,21,260
2012,1,3,tom kelly,1,827,12,107
2012,1,3,rob waugh,19,1908,181,820
2012,1,3,annabel howard,1,2,0,2
2012,1,3,mark duell,18,1312,10,225
2012,1,3,mark webster,2,0,0,6
2012,1,3,ellen connolly,1,11,0,3
2012,1,3,associated press,21,760,33,126
2012,1,3,ross clark,1,0,0,4
2012,1,3,rebecca english,4,290,4,85
2012,1,3,tim luckhurst,1,174,2,64
2012,1,3,harry glass,7,4,0,2
2012,1,3,chris parsons,7,947,24,161
2012,1,3,roger baird,5,14,0,8
2012,1,3,daniel martin,5,49,0,17
2012,1,3,emma reynolds,16,2780,45,521
2012,1,3,katherine faulkner,2,2111,12,313
2012,1,3,wil longbottom,6,775,16,117
2012,1,3,melissa kite,1,0,0,0
2012,1,3,annabel venning,2,83,2,18
2012,1,3,ephraim hardcastle,1,0,0,0
2012,1,3,georgina littlejohn,12,2079,10,269
2012,1,3,nina golgowski,7,335,16,64
2012,1,3,tom leonard,2,1040,5,134
2012,1,3,graham smith,11,2350,73,387
2012,1,3,james chapman,6,164,3,36
2012,1,3,nadia mendoza,11,231,7,82
2012,1,3,daisy dumas,10,3067,24,412
2012,1,3,nick enoch,6,856,26,260
2012,1,3,anna hodgekiss,2,73,3,24
2012,1,3,richard kay,5,14,0,6
2012,1,3,deborah arthurs,7,1813,22,308
2012,1,3,ian ladyman,3,161,1,73
2012,1,3,craig brown,2,5,0,0
2012,1,3,neil ashton,2,77,2,32
2012,1,3,andrew levy,2,16,0,1
2012,1,3,martyn cox,1,0,0,2
2012,1,3,greg walton,3,3,0,2
2012,1,3,ben laurance,6,104,0,31
2012,1,3,claire ellicott,1,101,2,32
2012,1,3,this is money reporter,15,21,0,12
2012,1,3,charles walford,13,1447,17,327
2012,1,3,this is money reporters,6,10,0,8
2012,1,3,rachel quigley,5,60,0,5
2012,1,3,hywel williams,1,5,2,6
2012,1,3,hannah rand,3,930,11,168
2012,1,3,jason groves,5,73,0,31
2012,1,3,leah simpson,10,416,9,78
2012,1,3,louise boyle,3,1308,117,303
2012,1,3,nicole lampert,2,88,4,10
2012,1,3,sean poulter,7,206,4,108
2012,1,3,peta bee,1,6,0,5
2012,1,3,chris greenwood,4,60,1,19
2012,1,3,ray massey,1,2,0,2
2012,1,3,hugo duncan,9,78,1,26
2012,1,3,andrea magrath,10,474,9,138
2012,1,3,ruth sunderland,5,9,0,5
2012,1,3,graham poll,1,36,0,1
2012,1,3,michael walker,2,11,0,4
2012,1,3,nadia gilani,6,1204,48,198
2012,1,3,rob davies,2,6,0,3
2012,1,3,liz thomas,3,260,4,46
2012,1,3,tamara abraham,5,514,9,85
2012,1,3,daniel miller,5,254,5,84
2012,1,3,suzannah hills,6,438,5,76
2012,1,3,jenny hope,4,306,18,57
2012,1,3,christopher stevens,1,92,0,15
2012,1,3,dan hyde,6,29,0,9
2012,1,3,john edwards,2,589,1,163
2012,1,3,daily mail recipe,1,0,0,0
2012,1,3,anthony bond,11,745,37,229
2012,1,3,fiona macrae,2,469,0,56
2012,1,3,david thomas,1,27,0,4
2012,1,3,peter carline,1,13,2,7
2012,1,3,daniel bates,7,676,11,90
2012,1,3,neil sears,3,64,1,17
2012,1,3,simon lambert,4,18,0,10
2012,1,3,liz hull,1,131,0,49
2012,1,3,ben griffiths,1,0,0,0
2012,1,3,michael burleigh,2,1,0,4
2012,1,3,paul revoir,2,30,2,46
2012,1,3,john naish,2,90,5,34
2012,1,3,chris foy,8,20,0,16
2012,1,3,nigel colborn,1,0,0,2
2012,1,3,matt lawton,2,455,6,45
2012,1,3,lee moran,9,15749,172,1437
2012,1,3,eliza scarborough,1,1,0,0
2012,1,3,luke salkeld,3,86,2,28
2012,1,3,sarah tomczak,1,116,1,21
2012,1,3,gavin allen,14,2567,123,408
2012,1,3,chris brooke,2,42,1,9
2012,1,3,wendy leigh,1,16,0,3
2012,1,3,chris johnson,1,43,1,14
2012,1,3,lydia warren,4,796,34,137
2012,1,3,sadie whitelocks,5,318,3,90
2012,1,3,laura schreffler,6,248,2,56
