year,month,week,name,articles,facebook,googleplus,twitter
2011,8,31,sarah fitzmaurice,14,590,4,93
2011,8,31,chris brooke,1,109,0,12
2011,8,31,laura williamson,3,9,0,12
2011,8,31,simon cass,3,283,4,36
2011,8,31,sarah bull,8,383,0,142
2011,8,31,linda kelsey,1,62,0,14
2011,8,31,daily mail reporter,370,39233,306,4261
2011,8,31,ross clark,2,27,0,13
2011,8,31,mike larkin,7,192,2,34
2011,8,31,simon duke,7,19,0,28
2011,8,31,duncan farmer,2,8,0,5
2011,8,31,sportsmail reporter,191,4269,6,656
2011,8,31,nigel colborn,1,0,0,0
2011,8,31,louise eccles,2,24,0,6
2011,8,31,dan hyde,6,10,0,5
2011,8,31,rebecca camber,3,108,0,14
2011,8,31,john naish,1,148,2,45
2011,8,31,alison boshoff,1,138,0,1
2011,8,31,this is money reporters,25,42,0,6
2011,8,31,anita bennett,1,254,2,36
2011,8,31,dr martin scurr,1,0,0,12
2011,8,31,jason groves,2,1,1,0
2011,8,31,nick pisa,5,115,0,35
2011,8,31,daisy dumas,5,304,3,74
2011,8,31,roger baird,3,2,0,0
2011,8,31,melanie phillips,2,485,1,135
2011,8,31,andrea magrath,9,474,2,70
2011,8,31,georgina littlejohn,5,260,2,49
2011,8,31,jeff powell,3,39,0,5
2011,8,31,fiona macrae,3,98,1,27
2011,8,31,rob cooper,5,130,1,31
2011,8,31,alanah eriksen,11,578,2,113
2011,8,31,angela epstein,2,77,0,23
2011,8,31,lawrence booth,7,31,0,14
2011,8,31,chris wheeler,5,684,1,55
2011,8,31,rachel quigley,17,678,1,117
2011,8,31,steve turner,1,12,0,6
2011,8,31,deborah arthurs,5,498,1,97
2011,8,31,this is money,3,3,0,1
2011,8,31,kirsty walker,3,185,0,43
2011,8,31,craig brown,2,16,0,9
2011,8,31,holly thomas,15,1563,2,128
2011,8,31,daily mail reporters,3,3,0,1
2011,8,31,nick fagge,3,42,0,10
2011,8,31,helen loveless,2,0,0,7
2011,8,31,louise ellis,1,36,0,29
2011,8,31,etain lavelle,1,0,0,0
2011,8,31,tamara cohen,3,313,4,66
2011,8,31,peta bee,1,7,0,5
2011,8,31,andrew levy,2,2138,26,133
2011,8,31,daniel bates,3,119,2,17
2011,8,31,paul bentley,7,1429,17,155
2011,8,31,carol davis,1,8,0,1
2011,8,31,ray massey,3,73,0,16
2011,8,31,peter allen,3,450,3,92
2011,8,31,ian ladyman,2,9,0,4
2011,8,31,john stevens,6,626,2,42
2011,8,31,nadia mendoza,1,14,0,3
2011,8,31,nasser hussain,2,107,0,3
2011,8,31,allan hall,1,573,4,41
2011,8,31,fiona roberts,13,4418,26,332
2011,8,31,travelmail reporter,1,22,0,19
2011,8,31,gerri peev,3,150,0,20
2011,8,31,eleanor harding,3,286,1,43
2011,8,31,sarah gordon,1,2,0,1
2011,8,31,jaya narain,2,99,0,8
2011,8,31,geoff foster,3,0,0,0
2011,8,31,katy b. olson,6,746,1,24
2011,8,31,mark duell,7,2264,6,87
2011,8,31,rebecca english,2,32,0,9
2011,8,31,andrew alexander,1,50,1,6
2011,8,31,michael arditti,3,8,0,5
2011,8,31,sam turner,5,0,0,1
2011,8,31,max hastings,1,9,0,1
2011,8,31,rob davies,2,0,0,0
2011,8,31,neil wilson,4,13,0,8
2011,8,31,melanie mulhern,1,3,0,0
2011,8,31,sami mokbel,5,581,0,94
2011,8,31,neil barraclough,2,16,0,1
2011,8,31,sylvia morris,1,2,0,0
2011,8,31,jonathan mcevoy,4,63,1,10
2011,8,31,luke salkeld,2,161,0,15
2011,8,31,james chapman,5,265,2,105
2011,8,31,christian gysin,1,55,1,10
2011,8,31,harry glass,6,0,0,1
2011,8,31,david wilkes,4,1129,3,80
2011,8,31,tom worden,2,26,0,13
2011,8,31,yvonne swann,1,0,0,0
2011,8,31,lee moran,7,19900,159,1263
2011,8,31,manfreda cavazza,1,0,0,0
2011,8,31,ian drury,4,332,0,33
2011,8,31,lauren thompson,3,16,0,4
2011,8,31,margaret stone,1,0,0,0
2011,8,31,neil moxley,4,220,0,30
2011,8,31,peter jardine,3,176,0,9
2011,8,31,jenna good,1,0,0,0
2011,8,31,ruth sunderland,6,1,0,1
2011,8,31,hugo duncan,4,109,0,25
2011,8,31,steve bird,1,52,0,4
2011,8,31,steve doughty,2,1148,3,91
2011,8,31,jenny hope,4,180,2,129
2011,8,31,tamsin brown,1,3,0,0
2011,8,31,matt barlow,5,214,0,17
2011,8,31,dominic king,3,376,0,71
2011,8,31,sandra parsons,1,15,0,6
2011,8,31,liz thomas,1,0,0,1
2011,8,31,j j anisiobi,1,80,0,11
2011,8,31,jill foster,1,144,1,15
2011,8,31,tamara abraham,5,179,0,50
2011,8,31,paul newman,4,26,0,11
2011,8,31,james coney,1,1,0,1
