year,month,week,name,articles,facebook,googleplus,twitter
2012,3,11,Editorial,23,329,6,644
2012,3,11,Nick Hopkins,7,311,12,339
2012,3,11,Katie Allen,16,127,8,347
2012,3,11,Presented by Alok Jha,1,55,3,39
2012,3,11,produced by Jason Phipps,2,60,3,61
2012,3,11,with Ian Sample,1,55,3,39
2012,3,11,Nick Fletcher,17,43,2,192
2012,3,11,David Brindle,3,172,8,111
2012,3,11,Juliette Jowit,7,1065,19,971
2012,3,11,Denis Campbell,9,976,17,965
2012,3,11,Press Association,117,1349,37,2711
2012,3,11,Robert Woodward,1,9,0,16
2012,3,11,Chris McGreal,8,849,27,394
2012,3,11,Associated Press,63,4480,124,2460
2012,3,11,Beatrice Woolf,1,142,4,144
2012,3,11,Eddie Butler at the Stade de France,1,2,0,9
2012,3,11,Suzanne Goldenberg,2,800,9,428
2012,3,11,Martin Rowson,4,84,2,105
2012,3,11,Hunter Felt,2,6,1,26
2012,3,11,Martin Chulov,1,102,7,102
2012,3,11,Tania Branigan,6,962,21,415
2012,3,11,agencies,37,4343,108,2146
2012,3,11,John Brunton,3,60,2,81
2012,3,11,Ben Hewitt,1,29,0,50
2012,3,11,Matthew Baxter-Reynolds,1,197,32,425
2012,3,11,Andrea Cornwall,1,167,1,95
2012,3,11,Giles Fraser,2,186,2,148
2012,3,11,Keith Stuart,16,340,7,889
2012,3,11,Maggie Brown,3,53,2,87
2012,3,11,Joe Anderson,1,19,0,16
2012,3,11,Roy Greenslade,32,259,16,1056
2012,3,11,GrrlScientist,22,224,53,375
2012,3,11,Alex Mitchell,1,0,0,0
2012,3,11,Sean Reid,1,11,1,6
2012,3,11,Kentucky,1,22,0,19
2012,3,11,Charles Arthur,16,2159,165,2763
2012,3,11,David Walker,1,9,0,17
2012,3,11,Dick Vinegar,1,1,0,7
2012,3,11,Jacob Steinberg,2,40,2,108
2012,3,11,Rob Smyth,8,638,11,479
2012,3,11,Stuart Dredge,13,168,13,1570
2012,3,11,Alison Rourke,3,337,9,224
2012,3,11,Barry Glendenning,7,59,4,185
2012,3,11,Lawrence Donegan,2,16,0,41
2012,3,11,Smilez,1,1,0,16
2012,3,11,Costas Douzinas,1,137,2,42
2012,3,11,Jenny Jones,1,31,2,59
2012,3,11,Jennifer Strutt,1,4,0,18
2012,3,11,Julian Borger,7,2064,20,1387
2012,3,11,Mary Hamilton,1,5,0,54
