year,month,week,name,articles,facebook,googleplus,twitter
2011,10,41,Shiv Malik,3,952,6,401
2011,10,41,Associated Press,59,4699,49,2042
2011,10,41,Sam Clark,1,32,0,17
2011,10,41,Mona Mahmood,2,45,0,25
2011,10,41,David Lengel,3,47,5,17
2011,10,41,Patrick Collinson,4,34,1,112
2011,10,41,Prospery Raymond,1,161,2,35
2011,10,41,Sarah Hartley,2,25,0,71
2011,10,41,Ben Dowell,1,3,0,12
2011,10,41,Fiona Walsh,1,5,1,13
2011,10,41,Gill Hitchcock,5,2,1,30
2011,10,41,Stuart Dredge,9,49,4,547
2011,10,41,Sally Higham,1,13,0,35
2011,10,41,Ian McCourt,2,8,0,52
2011,10,41,Evan Fanning,4,105,1,109
2011,10,41,Sachin Nakrani,3,48,0,77
2011,10,41,Mark Say,9,11,3,25
2011,10,41,Press Association,136,4232,24,2225
2011,10,41,Derek Long,1,0,0,1
2011,10,41,Brian Robson,1,3,0,5
2011,10,41,Paul Swinney,1,2,0,5
2011,10,41,Clare Horton,10,27,0,24
2011,10,41,Jill Treanor,22,444,5,408
2011,10,41,Nils Pratley,11,78,2,111
2011,10,41,Paddy Allen,7,314,3,111
2011,10,41,Guardian Research,1,74,1,33
2011,10,41,Barry Glendenning,7,201,2,125
2011,10,41,Dick Vinegar,1,1,0,11
2011,10,41,fifimonkey,1,0,0,5
2011,10,41,John Hooper,14,1662,11,464
2011,10,41,Alexandra Topping,3,348,6,283
2011,10,41,Debbie Andalo,2,13,1,39
2011,10,41,Frédéric Filloux,1,25,3,113
2011,10,41,Nick Fletcher,23,62,1,143
2011,10,41,Robert Kitson,15,366,2,80
2011,10,41,Keith Stuart,13,134,4,617
2011,10,41,Philippa Briscoe,1,3,0,0
2011,10,41,Bella Mackie,6,17,0,6
2011,10,41,Arwa Aburawa,1,252,0,61
2011,10,41,Nick Temple,2,16,0,14
2011,10,41,OrliTheBookworm,1,19,0,12
2011,10,41,Monkey,12,1344,4,433
2011,10,41,Roy Mayall,1,70,0,15
2011,10,41,Guardian readers,3,125,2,49
2011,10,41,Hélène Mulholland,9,373,0,313
2011,10,41,political reporter,5,299,0,178
2011,10,41,Sean Michaels,6,481,2,131
2011,10,41,Michael Cox,1,0,0,26
2011,10,41,Josh Halliday,21,5490,45,1860
2011,10,41,Presented by Hugh Muir,2,39,0,42
2011,10,41,produced by Peter Sale,2,39,0,42
2011,10,41,Alok Jha,2,181,2,96
2011,10,41,Kate Hodge,8,22,0,95
2011,10,41,Agencies,10,511,2,272
2011,10,41,Jess Cartner-Morley,12,420,3,325
2011,10,41,Jean-Louis Gassée,1,69,17,160
2011,10,41,Peter Beresford,1,167,0,42
2011,10,41,Paolo Bandini,6,67,0,67
2011,10,41,Ben Child,11,857,4,238
2011,10,41,Sam Jones,6,552,12,289
2011,10,41,agencies,27,3899,48,1326
2011,10,41,Gines Haro Pastor,4,3,0,34
2011,10,41,Jonathan Glennie,2,183,3,95
2011,10,41,Mark King,7,121,2,168
2011,10,41,Paul Rees,24,348,3,132
2011,10,41,Richard Lea,6,1943,14,246
2011,10,41,Tom Kington,12,3452,20,475
2011,10,41,John Plunkett,10,546,4,415
2011,10,41,Alfred Hickling,3,57,0,23
2011,10,41,Alan Connor,3,334,1,46
2011,10,41,Allan Jenkins,1,1,0,12
2011,10,41,Roy Greenslade,16,685,10,513
2011,10,41,Mike Gonzalez,1,75,0,28
2011,10,41,Larry Elliott,9,1192,18,277
2011,10,41,Sara McCorquodale,1,52,0,20
2011,10,41,Julia Eccleshare,1,1,0,7
2011,10,41,Jon Butterworth,2,151,9,58
2011,10,41,Rachel Williams,2,33,1,36
2011,10,41,Derfel Owen,1,31,1,32
2011,10,41,Greg Wood,7,1,0,31
2011,10,41,Rob Boffard,1,127,3,15
