paper,section,articles,male,female,unknown,social,facebook,twitter,googleplus,M_social,F_social,X_social,M_facebook,F_facebook,X_facebook,M_twitter,F_twitter,X_twitter,M_googleplus,F_googleplus,X_googleplus,emptybylines
guardian,experience-western-australia,14,0,0,0,76,58,14,4,0,0,0,0,0,0,0,0,0,0,0,0,14
guardian,publicservicesawards,53,3,11,0,412,359,49,4,44,311,0,23,291,0,21,19,0,0,1,0,39
guardian,voluntary-sector-network-mydonate-partner-zone,29,1,1,12,125,71,54,0,0,36,46,0,33,15,0,3,31,0,0,0,15
guardian,future-hr,22,0,0,0,11,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,22
guardian,social-enterprise-network-partner-zone-o2,2,0,0,1,8,0,8,0,0,0,8,0,0,0,0,0,8,0,0,0,1
guardian,money,2616,1259,1202,121,198348,109095,87611,1642,114799,73270,1585,69563,34622,690,44267,38018,886,969,630,9,243
guardian,lend-with-care,2,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
guardian,help,49,25,14,7,6650,2692,3822,136,2204,3108,1169,883,1246,525,1268,1806,618,53,56,26,7
guardian,social-enterprise-partner-zone-the-co-operative,36,15,0,0,331,266,62,3,50,0,0,44,0,0,6,0,0,0,0,0,21
guardian,healthcare-network-nihr-clinical-research-zone,30,4,4,9,179,28,148,3,4,93,35,1,6,5,3,86,28,0,1,2,13
guardian,cayman-islands,3,0,0,0,30,11,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3
guardian,gnm-archive,11,0,0,0,14,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11
guardian,mobile-summit,62,0,0,0,163,99,63,1,0,0,0,0,0,0,0,0,0,0,0,0,62
guardian,free-life-insurance-guide,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
guardian,environment,3461,1856,967,623,1000857,673384,316429,11044,514680,303744,103182,339059,208053,71014,169777,92562,30890,5844,3129,1278,430
guardian,STA-work-experience-australia,3,0,0,0,52,43,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3
guardian,small-business-network-partner-zone-lloyds-tsb,15,0,1,14,92,23,63,6,0,2,90,0,0,23,0,2,61,0,0,6,0
guardian,social-enterprise-network,590,257,152,187,14395,5278,8998,119,6113,4112,4037,2677,1462,1129,3388,2598,2889,48,52,19,9
guardian,culture-professionals-network,283,147,131,113,18585,8184,10188,213,10009,4691,3791,4275,1935,1935,5601,2709,1823,133,47,33,4
guardian,uniqlo-fashion-forward,11,0,0,0,46,34,12,0,0,0,0,0,0,0,0,0,0,0,0,0,11
guardian,tv-and-radio,2492,2274,1236,163,230503,168410,60539,1554,116427,77114,15102,82713,54283,12329,32854,22282,2708,860,549,65,89
guardian,discover-aquitaine,11,4,5,0,155,150,5,0,13,130,0,12,128,0,1,2,0,0,0,0,2
guardian,hifx-money-transfers,4,0,0,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4
guardian,recruiters,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
guardian,crosswords,966,111,0,12,3944,1997,1897,50,2862,0,52,1349,0,19,1478,0,32,35,0,1,843
guardian,ibm-wimbledon-slamtracker,4,0,0,0,81,46,24,11,0,0,0,0,0,0,0,0,0,0,0,0,4
guardian,world,14909,7507,2892,4239,4082994,3216969,824270,41755,2422513,977500,284950,1892967,768951,229065,504803,197608,52432,24743,10941,3453,2732
guardian,eyewitness-subscriber,21,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
guardian,small-business-network,32,17,7,0,1040,275,709,56,474,381,0,151,118,0,296,243,0,27,20,0,8
guardian,innovation-education,46,0,0,0,56,29,26,1,0,0,0,0,0,0,0,0,0,0,0,0,46
guardian,gnm-press-office,102,0,0,4,1356,871,473,12,0,0,9,0,0,7,0,0,2,0,0,0,98
guardian,subscriber-direct,2,0,0,3,23,15,8,0,0,0,1,0,0,1,0,0,0,0,0,0,1
guardian,media-network-partner-zone-huawei,9,1,0,18,47,28,6,13,2,0,45,0,0,28,0,0,6,2,0,11,0
guardian,one-man-two-guvnors-on-broadway,2,0,0,0,33,29,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2
guardian,deals,8,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
guardian,government-computing-partner-zone-mll-telecom,11,1,0,4,35,5,30,0,14,0,1,3,0,1,11,0,0,0,0,0,6
guardian,student-media-awards-2012,43,0,0,0,220,175,44,1,0,0,0,0,0,0,0,0,0,0,0,0,43
guardian,public-leaders-network-mastercard-partner-zone,7,0,0,0,8,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,7
guardian,student-media-awards-2011,4,0,0,0,17,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4
guardian,live-life-for-less,36,0,0,0,501,271,226,4,0,0,0,0,0,0,0,0,0,0,0,0,36
guardian,teacher-network,304,128,143,20,31295,21836,9124,335,21273,6913,2901,15680,3863,2110,5361,2975,765,232,75,26,20
guardian,italian-style,7,0,0,0,160,118,42,0,0,0,0,0,0,0,0,0,0,0,0,0,7
guardian,sustainable-business,1115,493,297,227,66959,38359,27614,986,31755,28417,4141,17311,17615,1741,13955,10405,2338,489,397,62,151
guardian,john-lewis-beauty,12,0,0,0,79,67,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12
guardian,trebor-sweet-success,17,5,0,0,516,489,27,0,99,0,0,92,0,0,7,0,0,0,0,0,12
guardian,activate,66,4,0,1,202,127,63,12,75,0,38,39,0,27,35,0,10,1,0,1,62
guardian,visit-england,12,2,4,1,214,165,49,0,20,88,30,20,61,26,0,27,4,0,0,0,5
guardian,innovation-nation-awards,29,7,5,1,803,526,260,17,145,496,0,90,339,0,50,147,0,5,10,0,16
guardian,teacher-seminars,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
guardian,visit-wales,17,1,0,0,284,173,103,8,0,0,0,0,0,0,0,0,0,0,0,0,16
guardian,achievementsaward,18,0,1,0,152,130,20,2,0,42,0,0,41,0,0,1,0,0,0,0,17
guardian,society,3214,1781,1130,417,666641,474122,187054,5465,410016,212895,24053,287305,157215,17439,119203,54008,6432,3508,1672,182,293
guardian,housing-network-eac-partner-zone,12,7,1,4,15,7,8,0,10,0,5,7,0,0,3,0,5,0,0,0,0
guardian,books,4589,2155,1652,383,825675,618617,195937,11121,345803,366786,60039,253783,278587,47423,87027,83289,11903,4993,4910,713,614
guardian,mafia-state-luke-harding,1,0,0,1,110,86,23,1,0,0,110,0,0,86,0,0,23,0,0,1,0
guardian,artanddesign,2477,1308,499,156,477390,368075,104672,4643,242387,99528,36784,182205,79953,29186,57609,18687,7236,2573,888,362,687
guardian,sport,11880,8545,284,3520,459422,286131,169695,3596,338846,29755,14396,195898,16990,7755,140236,12412,6444,2712,353,197,635
guardian,hive-books,5,0,0,0,127,98,27,2,0,0,0,0,0,0,0,0,0,0,0,0,5
guardian,ecotricity-offer,3,0,0,0,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
guardian,amex-be-inspired,1,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
guardian,business,7224,4662,2157,576,609517,375766,225985,7766,403387,158234,26194,255800,89166,18929,142429,67184,6746,5158,1884,519,611
guardian,cafedirect,2,0,0,0,25,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2
guardian,business-in-you,6,0,0,0,424,226,186,12,0,0,0,0,0,0,0,0,0,0,0,0,6
guardian,sarahs-key,3,0,0,0,92,78,12,2,0,0,0,0,0,0,0,0,0,0,0,0,3
guardian,guardian-professional,12,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12
guardian,thomas-sanderson-blinds,2,0,0,0,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
guardian,cleantech-summit,47,0,0,0,36,14,21,1,0,0,0,0,0,0,0,0,0,0,0,0,47
guardian,ict-leadership,17,5,3,0,135,100,26,9,48,22,0,37,17,0,6,5,0,5,0,0,9
