year,total_fem_obit,total_words,felt_count,articles_containing_felt/total_articles,felt_uses/total_words,felt_uses,decided_count,articles_containing_decided/total_articles,decided_uses/total_words,decided_uses,real_count,articles_containing_real/total_articles,real_uses/total_words,real_uses,left_count,articles_containing_left/total_articles,left_uses/total_words,left_uses,actress_count,articles_containing_actress/total_articles,actress_uses/total_words,actress_uses,lawyer_count,articles_containing_lawyer/total_articles,lawyer_uses/total_words,lawyer_uses,judge_count,articles_containing_judge/total_articles,judge_uses/total_words,judge_uses,justice_count,articles_containing_justice/total_articles,justice_uses/total_words,justice_uses,family_count,articles_containing_family/total_articles,family_uses/total_words,family_uses,director_count,articles_containing_director/total_articles,director_uses/total_words,director_uses,president_count,articles_containing_president/total_articles,president_uses/total_words,president_uses,executive_count,articles_containing_executive/total_articles,executive_uses/total_words,executive_uses,assistant_count,articles_containing_assistant/total_articles,assistant_uses/total_words,assistant_uses,company_count,articles_containing_company/total_articles,company_uses/total_words,company_uses,secretary_count,articles_containing_secretary/total_articles,secretary_uses/total_words,secretary_uses,business_count,articles_containing_business/total_articles,business_uses/total_words,business_uses,senior_count,articles_containing_senior/total_articles,senior_uses/total_words,senior_uses,producer_count,articles_containing_producer/total_articles,producer_uses/total_words,producer_uses,working_count,articles_containing_working/total_articles,working_uses/total_words,working_uses,friend_count,articles_containing_friend/total_articles,friend_uses/total_words,friend_uses,career_count,articles_containing_career/total_articles,career_uses/total_words,career_uses,son_count,articles_containing_son/total_articles,son_uses/total_words,son_uses,daughter_count,articles_containing_daughter/total_articles,daughter_uses/total_words,daughter_uses,mother_count,articles_containing_mother/total_articles,mother_uses/total_words,mother_uses,father_count,articles_containing_father/total_articles,father_uses/total_words,father_uses,wife_count,articles_containing_wife/total_articles,wife_uses/total_words,wife_uses,sister_count,articles_containing_sister/total_articles,sister_uses/total_words,sister_uses,brother_count,articles_containing_brother/total_articles,brother_uses/total_words,brother_uses,companion_count,articles_containing_companion/total_articles,companion_uses/total_words,companion_uses,husband_count,articles_containing_husband/total_articles,husband_uses/total_words,husband_uses,children_count,articles_containing_children/total_articles,children_uses/total_words,children_uses,grandchildren_count,articles_containing_grandchildren/total_articles,grandchildren_uses/total_words,grandchildren_uses,child_count,articles_containing_child/total_articles,child_uses/total_words,child_uses
1987,293,93494,5,0.0170648464164,6.41752411919e-05,6,7,0.0238907849829,8.55669882559e-05,8,10,0.0341296928328,0.000117654608852,11,16,0.0546075085324,0.000192525723576,18,28,0.0955631399317,0.000609664791324,57,14,0.0477815699659,0.000288788585364,27,4,0.0136518771331,0.000149742229448,14,5,0.0170648464164,7.48711147239e-05,7,43,0.146757679181,0.0010695873532,100,63,0.215017064846,0.00117654608852,110,70,0.238907849829,0.00149742229448,140,25,0.0853242320819,0.000395747320684,37,26,0.0887372013652,0.000385051447152,36,34,0.116040955631,0.000695231779579,65,14,0.0477815699659,0.000246005091236,23,22,0.0750853242321,0.000352963826556,33,16,0.0546075085324,0.000246005091236,23,7,0.0238907849829,0.00016043810298,15,25,0.0853242320819,0.000310180332428,29,15,0.0511945392491,0.0002673968383,25,51,0.174061433447,0.000844974009027,79,88,0.300341296928,0.00109097910026,102,103,0.351535836177,0.00144394292682,135,49,0.167235494881,0.000834278135495,78,37,0.126279863481,0.000470618435408,44,31,0.105802047782,0.000556185423664,52,67,0.22866894198,0.000834278135495,78,49,0.167235494881,0.000545489550132,51,1,0.00341296928328,1.0695873532e-05,1,152,0.518771331058,0.00226752518878,212,50,0.170648464164,0.00104819560614,98,100,0.341296928328,0.00108028322673,101,18,0.061433447099,0.000299484458896,28
1988,338,98204,6,0.0177514792899,8.14630768604e-05,8,5,0.0147928994083,9.1645961468e-05,9,13,0.0384615384615,0.000162926153721,16,13,0.0384615384615,0.000152743269113,15,27,0.0798816568047,0.000631338845668,62,9,0.0266272189349,0.000173109038328,17,4,0.0118343195266,0.000224023461366,22,6,0.0177514792899,0.000101828846076,10,43,0.127218934911,0.000794264999389,78,83,0.245562130178,0.00122194615291,120,82,0.242603550296,0.00149688403731,147,28,0.0828402366864,0.000529509999593,52,30,0.0887573964497,0.000397132499695,39,43,0.127218934911,0.000784082114781,77,20,0.0591715976331,0.000305486538227,30,18,0.0532544378698,0.000295303653619,29,11,0.0325443786982,0.000183291922936,18,9,0.0266272189349,0.000142560384506,14,19,0.0562130177515,0.000305486538227,30,15,0.0443786982249,0.000203657692151,20,56,0.165680473373,0.000722984807136,71,91,0.269230769231,0.00104883711458,103,103,0.304733727811,0.00136450653741,134,51,0.150887573964,0.000712801922529,70,27,0.0798816568047,0.000468412691947,46,32,0.094674556213,0.000509144230378,50,75,0.221893491124,0.00091645961468,90,54,0.159763313609,0.000560058653415,55,3,0.00887573964497,7.12801922529e-05,7,138,0.408284023669,0.00203657692151,200,62,0.183431952663,0.00139505519123,137,97,0.286982248521,0.000987739806933,97,29,0.085798816568,0.000437864038125,43
1989,415,119915,6,0.0144578313253,5.83746820665e-05,7,8,0.0192771084337,0.000100070883543,12,9,0.021686746988,8.33924029521e-05,10,21,0.0506024096386,0.000250177208856,30,33,0.0795180722892,0.000617103781845,74,22,0.0530120481928,0.000308551890923,37,14,0.033734939759,0.000150106325314,18,5,0.0120481927711,9.17316432473e-05,11,50,0.120481927711,0.000642121502731,77,78,0.187951807229,0.00132593920694,159,83,0.2,0.00112579743985,135,39,0.0939759036145,0.000525372138598,63,33,0.0795180722892,0.000341908852104,41,50,0.120481927711,0.000758870866864,91,16,0.0385542168675,0.000175124046199,21,21,0.0506024096386,0.000233498728266,28,14,0.033734939759,0.000150106325314,18,14,0.033734939759,0.00019180252679,23,26,0.0626506024096,0.000275194929742,33,21,0.0506024096386,0.00020848100738,25,49,0.118072289157,0.00059208606096,71,105,0.253012048193,0.000933994913063,112,116,0.279518072289,0.00110077971897,132,55,0.132530120482,0.000633782262436,76,25,0.0602409638554,0.000325230371513,39,27,0.0650602409639,0.000341908852104,41,102,0.24578313253,0.0010424050369,125,73,0.175903614458,0.000642121502731,77,2,0.00481927710843,1.66784805904e-05,2,182,0.438554216867,0.00204311387233,245,63,0.151807228916,0.00103406579661,124,133,0.320481927711,0.00111745819956,134,30,0.0722891566265,0.000341908852104,41
1990,456,149492,7,0.015350877193,8.02718540123e-05,12,11,0.0241228070175,0.000107029138683,16,13,0.0285087719298,9.36504963476e-05,14,33,0.0723684210526,0.000247504883204,37,48,0.105263157895,0.000842854467129,126,24,0.0526315789474,0.000220747598534,33,13,0.0285087719298,0.000200679635031,30,8,0.0175438596491,0.000107029138683,16,112,0.245614035088,0.00120407781018,180,87,0.190789473684,0.000929815642309,139,103,0.225877192982,0.00119738848902,179,36,0.0789473684211,0.000414737912397,62,27,0.0592105263158,0.000234126240869,35,62,0.135964912281,0.00069568940144,104,18,0.0394736842105,0.000167233029192,25,39,0.0855263157895,0.000361223343055,54,12,0.0263157894737,9.36504963476e-05,14,21,0.0460526315789,0.000227436919701,34,29,0.0635964912281,0.000207368956198,31,37,0.0811403508772,0.000307708773714,46,87,0.190789473684,0.000856233109464,128,115,0.252192982456,0.00103684478099,155,165,0.361842105263,0.00158536911674,237,69,0.151315789474,0.000655553474433,98,47,0.103070175439,0.000488320445241,73,26,0.0570175438596,0.000247504883204,37,110,0.241228070175,0.000882990394135,132,96,0.210526315789,0.000755893291949,113,10,0.0219298245614,6.68932116769e-05,10,223,0.489035087719,0.00210713616782,315,76,0.166666666667,0.000990019532818,148,143,0.313596491228,0.00101008749632,151,26,0.0570175438596,0.000321087416049,48
1991,375,119066,4,0.0106666666667,5.03922194413e-05,6,6,0.016,5.03922194413e-05,6,9,0.024,7.5588329162e-05,9,22,0.0586666666667,0.000226764987486,27,43,0.114666666667,0.00078107940134,93,33,0.088,0.000319150723128,38,10,0.0266666666667,0.000100784438883,12,11,0.0293333333333,0.000218366284246,26,149,0.397333333333,0.00160415231888,191,96,0.256,0.00123460937631,147,98,0.261333333333,0.00133539381519,159,55,0.146666666667,0.000587909226815,70,45,0.12,0.000503922194413,60,54,0.144,0.000881863840223,105,33,0.088,0.000352745536089,42,25,0.0666666666667,0.000352745536089,42,12,0.032,0.000117581845363,14,17,0.0453333333333,0.000193170174525,23,31,0.0826666666667,0.000285555910167,34,33,0.088,0.000310752019888,37,76,0.202666666667,0.00074748458838,89,107,0.285333333333,0.00109183142123,130,133,0.354666666667,0.00165454453832,197,57,0.152,0.000789478104581,94,43,0.114666666667,0.000419935162011,50,24,0.064,0.000277157206927,33,91,0.242666666667,0.000907059949944,108,75,0.2,0.000697092368938,83,13,0.0346666666667,0.000109183142123,13,197,0.525333333333,0.00228444728134,272,65,0.173333333333,0.000915458653184,109,111,0.296,0.000940654762905,112,37,0.0986666666667,0.000361144239329,43
1992,369,136511,5,0.0135501355014,4.39525019962e-05,6,10,0.0271002710027,7.32541699936e-05,10,14,0.0379403794038,0.000131857505989,18,21,0.0569105691057,0.000175810007985,24,31,0.0840108401084,0.000395572517966,54,20,0.0542005420054,0.000183135424984,25,10,0.0271002710027,0.000124532088989,17,5,0.0135501355014,5.12779189955e-05,7,170,0.460704607046,0.00169949674385,232,96,0.260162601626,0.00101823296291,139,103,0.279132791328,0.00126729714089,173,45,0.121951219512,0.000402897934965,55,30,0.0813008130081,0.000285691262975,39,71,0.192411924119,0.000798470452931,109,23,0.0623306233062,0.000190460841983,26,33,0.0894308943089,0.000388247100966,53,14,0.0379403794038,0.000102555837991,14,13,0.0352303523035,0.000139182922988,19,38,0.10298102981,0.000351620015969,48,42,0.113821138211,0.000351620015969,48,99,0.268292682927,0.00100358212891,137,100,0.271002710027,0.000974280460915,133,139,0.376693766938,0.00142845631488,195,73,0.19783197832,0.000747192533935,102,48,0.130081300813,0.000417548768964,57,24,0.0650406504065,0.00023441334398,32,99,0.268292682927,0.000974280460915,133,99,0.268292682927,0.000783819618932,107,9,0.0243902439024,6.59287529943e-05,9,208,0.563685636856,0.00214634718081,293,76,0.205962059621,0.00106218546491,145,118,0.319783197832,0.000901026290922,123,33,0.0894308943089,0.000329643764971,45
1993,320,120013,11,0.034375,0.000133318890454,16,12,0.0375,0.000116654029147,14,12,0.0375,0.00014998375176,18,29,0.090625,0.00027497021156,33,52,0.1625,0.000749918758801,90,21,0.065625,0.000233308058294,28,7,0.021875,0.000108321598493,13,2,0.00625,1.66648613067e-05,2,133,0.415625,0.00161649154675,194,74,0.23125,0.000883237649255,106,85,0.265625,0.00107488355428,129,35,0.109375,0.000374959379401,45,20,0.0625,0.000216643196987,26,60,0.1875,0.000849907926641,102,22,0.06875,0.00022497562764,27,30,0.09375,0.000316632364827,38,12,0.0375,0.0001249864598,15,18,0.05625,0.000216643196987,26,40,0.125,0.000374959379401,45,39,0.121875,0.000424953963321,51,83,0.259375,0.00104155383167,125,101,0.315625,0.00106655112363,128,124,0.3875,0.00145817536434,175,61,0.190625,0.000683259313574,82,42,0.13125,0.000516610700507,62,18,0.05625,0.000308299934174,37,91,0.284375,0.000899902510561,108,60,0.1875,0.000533275561814,64,10,0.03125,9.16567371868e-05,11,159,0.496875,0.00207477523268,249,57,0.178125,0.000791580912068,95,86,0.26875,0.000733253897494,88,21,0.065625,0.000283302642214,34
1994,312,116375,5,0.0160256410256,5.15574650913e-05,6,9,0.0288461538462,8.59291084855e-05,10,9,0.0288461538462,0.000103114930183,12,20,0.0641025641026,0.000232008592911,27,34,0.108974358974,0.000455424274973,53,25,0.0801282051282,0.000283566058002,33,10,0.0320512820513,0.000171858216971,20,7,0.0224358974359,0.000103114930183,12,114,0.365384615385,0.00142642320086,166,96,0.307692307692,0.0011686358754,136,79,0.253205128205,0.00133190118153,155,42,0.134615384615,0.00053276047261,62,29,0.0929487179487,0.000283566058002,33,52,0.166666666667,0.000618689581096,72,24,0.0769230769231,0.000240601503759,28,18,0.0576923076923,0.000257787325456,30,15,0.0480769230769,0.000137486573577,16,18,0.0576923076923,0.000171858216971,20,28,0.0897435897436,0.000300751879699,35,42,0.134615384615,0.000455424274973,53,75,0.240384615385,0.000790547798067,92,113,0.362179487179,0.00133190118153,155,136,0.435897435897,0.00171858216971,200,49,0.157051282051,0.000575725026853,67,37,0.11858974359,0.000386680988185,45,22,0.0705128205128,0.000292158968851,34,89,0.285256410256,0.00103974221267,121,61,0.195512820513,0.000584317937701,68,7,0.0224358974359,6.87432867884e-05,8,161,0.516025641026,0.00206229860365,240,58,0.185897435897,0.000764769065521,89,104,0.333333333333,0.000902255639098,105,24,0.0769230769231,0.000292158968851,34
1995,327,135716,9,0.0275229357798,7.36832797902e-05,10,14,0.0428134556575,0.000110524919685,15,15,0.045871559633,0.000132629903622,18,34,0.103975535168,0.000287364791182,39,35,0.107033639144,0.000434731350762,59,20,0.0611620795107,0.000169471543517,23,5,0.0152905198777,6.63149518111e-05,9,2,0.00611620795107,1.4736655958e-05,2,125,0.382262996942,0.00137787733208,187,71,0.217125382263,0.000714727813964,97,80,0.244648318043,0.00115682749271,157,35,0.107033639144,0.000361048070972,49,24,0.0733944954128,0.000191576527454,26,68,0.207951070336,0.000744201125881,101,13,0.039755351682,0.000110524919685,15,27,0.0825688073394,0.000309469775119,42,17,0.0519877675841,0.00014736655958,20,19,0.0581039755352,0.000184208199475,25,37,0.113149847095,0.00030210144714,41,44,0.134556574924,0.000368416398951,50,85,0.25993883792,0.00089893601344,122,98,0.299694189602,0.00118630080462,161,119,0.363914373089,0.00134103569218,182,70,0.214067278287,0.000876831029503,119,63,0.192660550459,0.00075156945386,102,29,0.0886850152905,0.000250523151287,34,89,0.272171253823,0.000994724277167,135,70,0.214067278287,0.000633676206195,86,10,0.0305810397554,7.36832797902e-05,10,200,0.611620795107,0.00219576173775,298,72,0.220183486239,0.000994724277167,135,116,0.354740061162,0.000935777653335,127,37,0.113149847095,0.000338943087035,46
1996,329,163163,13,0.0395136778116,9.80614477547e-05,16,19,0.0577507598784,0.000147092171632,24,24,0.0729483282675,0.000165478693086,27,51,0.155015197568,0.000373859269565,61,40,0.121580547112,0.000379988110049,62,27,0.0820668693009,0.000202251735994,33,7,0.0212765957447,8.58037667854e-05,14,12,0.0364741641337,0.000159349852601,26,148,0.449848024316,0.00133608722566,218,72,0.218844984802,0.000729332017676,119,83,0.252279635258,0.000802878103492,131,32,0.09726443769,0.000208380576479,34,32,0.09726443769,0.000257411300356,42,57,0.173252279635,0.000619012888952,101,24,0.0729483282675,0.000208380576479,34,41,0.12462006079,0.000337086226657,55,20,0.0607902735562,0.000140963331147,23,19,0.0577507598784,0.000153221012117,25,54,0.164133738602,0.000373859269565,61,58,0.176291793313,0.000453534195865,74,94,0.285714285714,0.000888681870277,145,99,0.300911854103,0.000858037667854,140,122,0.370820668693,0.00110932012773,181,81,0.246200607903,0.000815135784461,133,68,0.206686930091,0.000612884048467,100,40,0.121580547112,0.000355472748111,58,80,0.243161094225,0.000588368686528,96,72,0.218844984802,0.000484178398289,79,10,0.0303951367781,6.12884048467e-05,10,185,0.562310030395,0.00187542518831,306,89,0.270516717325,0.00106028940385,173,107,0.325227963526,0.000661914772344,108,43,0.130699088146,0.000373859269565,61
