@date, @total, @subject_female, @subject_male, @subject_middle, @subject_female_percent, @subject_male_percent, @subject_middle_percent
12/2004,81,16,64,1,0.1976,0.7902,0.0124
1/2005,94,19,74,1,0.2022,0.7873,0.0107
2/2005,88,15,72,1,0.1705,0.8182,0.0114
3/2005,95,19,76,0,0.2000,0.8000,0.0000
4/2005,101,16,85,0,0.1585,0.8416,0.0000
5/2005,80,12,67,1,0.1500,0.8375,0.0125
6/2005,79,10,69,0,0.1266,0.8735,0.0000
7/2005,84,8,76,0,0.0953,0.9048,0.0000
8/2005,86,11,74,1,0.1280,0.8605,0.0117
9/2005,80,13,65,2,0.1625,0.8125,0.0250
10/2005,68,11,57,0,0.1618,0.8383,0.0000
11/2005,77,9,68,0,0.1169,0.8832,0.0000
12/2005,94,13,79,2,0.1383,0.8405,0.0213
1/2006,82,14,68,0,0.1708,0.8293,0.0000
2/2006,86,17,69,0,0.1977,0.8024,0.0000
3/2006,104,14,90,0,0.1347,0.8654,0.0000
4/2006,77,17,57,3,0.2208,0.7403,0.0390
5/2006,89,13,76,0,0.1461,0.8540,0.0000
6/2006,86,14,72,0,0.1628,0.8373,0.0000
7/2006,86,14,71,1,0.1628,0.8256,0.0117
8/2006,93,16,76,1,0.1721,0.8173,0.0108
9/2006,94,24,70,0,0.2554,0.7447,0.0000
10/2006,80,17,62,1,0.2125,0.7750,0.0125
11/2006,85,19,66,0,0.2236,0.7765,0.0000
12/2006,88,14,73,0,0.1610,0.8391,0.0000
1/2007,86,20,63,3,0.2326,0.7326,0.0349
2/2007,90,13,77,0,0.1445,0.8556,0.0000
3/2007,86,15,70,1,0.1745,0.8140,0.0117
4/2007,87,18,68,1,0.2069,0.7817,0.0115
5/2007,65,10,53,2,0.1539,0.8154,0.0308
6/2007,57,10,47,0,0.1755,0.8246,0.0000
