@date, @total, @subject_female, @subject_male, @subject_middle, @subject_female_percent, @subject_male_percent, @subject_middle_percent
10/2000,154,21,87,28,0.1545,0.6398,0.2059
11/2000,143,31,67,31,0.2404,0.5194,0.2404
12/2000,128,25,68,19,0.2233,0.6072,0.1697
1/2001,160,18,99,26,0.1259,0.6924,0.1819
2/2001,170,26,103,24,0.1700,0.6733,0.1569
3/2001,292,29,197,43,0.1079,0.7324,0.1599
4/2001,224,41,143,24,0.1972,0.6875,0.1154
5/2001,248,32,139,32,0.1577,0.6848,0.1577
6/2001,193,27,92,34,0.1765,0.6014,0.2223
7/2001,133,19,67,16,0.1863,0.6569,0.1569
8/2001,220,30,120,30,0.1667,0.6667,0.1667
9/2001,145,28,72,17,0.2394,0.6154,0.1453
10/2001,150,19,82,22,0.1545,0.6667,0.1789
11/2001,167,28,82,26,0.2059,0.6030,0.1912
12/2001,176,27,80,26,0.2031,0.6016,0.1955
1/2002,198,28,112,24,0.1708,0.6830,0.1464
2/2002,176,26,90,24,0.1858,0.6429,0.1715
3/2002,204,28,96,32,0.1795,0.6154,0.2052
4/2002,210,22,107,30,0.1384,0.6730,0.1887
5/2002,206,33,100,27,0.2063,0.6250,0.1688
6/2002,245,35,110,38,0.1913,0.6011,0.2077
7/2002,144,16,82,17,0.1392,0.7131,0.1479
8/2002,196,25,90,21,0.1839,0.6618,0.1545
9/2002,177,27,81,27,0.2000,0.6000,0.2000
10/2002,208,31,96,39,0.1868,0.5784,0.2350
11/2002,188,27,106,25,0.1709,0.6709,0.1583
12/2002,164,28,79,20,0.2205,0.6221,0.1575
1/2003,194,32,100,33,0.1940,0.6061,0.2000
2/2003,189,25,106,26,0.1593,0.6752,0.1657
3/2003,185,34,82,29,0.2345,0.5656,0.2000
4/2003,201,33,108,25,0.1988,0.6507,0.1507
5/2003,215,41,115,34,0.2158,0.6053,0.1790
6/2003,227,40,111,40,0.2095,0.5812,0.2095
7/2003,156,20,86,25,0.1527,0.6565,0.1909
8/2003,165,33,76,32,0.2341,0.5391,0.2270
9/2003,203,29,105,35,0.1716,0.6214,0.2072
10/2003,179,31,82,41,0.2013,0.5325,0.2663
11/2003,223,45,98,41,0.2446,0.5327,0.2229
12/2003,144,19,88,24,0.1451,0.6718,0.1833
1/2004,202,29,114,36,0.1621,0.6369,0.2012
2/2004,179,26,104,26,0.1667,0.6667,0.1667
3/2004,211,26,117,41,0.1414,0.6359,0.2229
4/2004,218,37,107,37,0.2045,0.5912,0.2045
5/2004,174,37,81,32,0.2467,0.5400,0.2134
6/2004,190,37,94,33,0.2257,0.5732,0.2013
7/2004,126,19,71,23,0.1682,0.6284,0.2036
8/2004,165,36,79,25,0.2572,0.5643,0.1786
9/2004,183,36,99,27,0.2223,0.6112,0.1667
10/2004,161,29,67,34,0.2231,0.5154,0.2616
11/2004,171,35,97,23,0.2259,0.6259,0.1484
12/2004,136,32,61,29,0.2623,0.5000,0.2378
1/2005,182,28,99,36,0.1718,0.6074,0.2209
2/2005,159,25,82,25,0.1894,0.6213,0.1894
3/2005,195,33,107,30,0.1942,0.6295,0.1765
4/2005,155,25,89,27,0.1774,0.6313,0.1915
5/2005,109,17,65,21,0.1651,0.6311,0.2039
6/2005,86,19,49,16,0.2262,0.5834,0.1905
7/2005,83,15,42,18,0.2000,0.5600,0.2400
8/2005,86,14,52,18,0.1667,0.6191,0.2143
9/2005,98,21,54,15,0.2334,0.6000,0.1667
10/2005,70,15,34,17,0.2273,0.5152,0.2576
11/2005,126,21,66,28,0.1827,0.5740,0.2435
12/2005,83,19,45,15,0.2406,0.5697,0.1899
1/2006,120,19,65,25,0.1744,0.5964,0.2294
2/2006,112,16,68,20,0.1539,0.6539,0.1924
3/2006,153,21,93,25,0.1511,0.6691,0.1799
4/2006,178,38,95,25,0.2406,0.6013,0.1583
5/2006,166,27,108,17,0.1777,0.7106,0.1119
6/2006,145,29,71,30,0.2231,0.5462,0.2308
7/2006,117,17,63,19,0.1718,0.6364,0.1920
8/2006,119,16,69,14,0.1617,0.6970,0.1415
9/2006,161,31,84,24,0.2231,0.6044,0.1727
10/2006,175,30,96,21,0.2041,0.6531,0.1429
11/2006,161,23,78,41,0.1620,0.5493,0.2888
12/2006,133,18,61,20,0.1819,0.6162,0.2021
1/2007,164,28,86,26,0.2000,0.6143,0.1858
2/2007,131,27,73,19,0.2269,0.6135,0.1597
3/2007,153,23,85,26,0.1717,0.6344,0.1941
4/2007,233,36,129,35,0.1800,0.6450,0.1750
5/2007,157,25,91,27,0.1749,0.6364,0.1889
6/2007,87,15,44,18,0.1949,0.5715,0.2338
